Emitido para	Emitido por	Data de validade	Finalidades	Nome amigável	Status	Modelo de Certificado
GlobalSign Root CA	GlobalSign Root CA	28/01/2028	Autenticação do Servidor, Autenticação de Cliente, Assinatura do Código, Email Seguro, Carimbo de Data/Hora, Autenticação OCSP, Sistema de Arquivos Com Criptografia, Término do túnel de segurança de IP, Usuário de segurança de IP, Segurança de IP IKE Intermediária	GlobalSign Root CA - R1	    	
Go Daddy Class 2 Certification Authority	Go Daddy Class 2 Certification Authority	29/06/2034	Autenticação do Servidor, Autenticação de Cliente, Email Seguro, Assinatura do Código	Go Daddy Class 2 Certification Authority	    	
Go Daddy Root Certificate Authority - G2	Go Daddy Root Certificate Authority - G2	31/12/2037	Autenticação do Servidor, Autenticação de Cliente, Assinatura do Código, Email Seguro, Carimbo de Data/Hora, Sistema de Arquivos Com Criptografia, Término do túnel de segurança de IP, Usuário de segurança de IP	Go Daddy Root Certificate Authority – G2	    	
Hotspot 2.0 Trust Root CA - 03	Hotspot 2.0 Trust Root CA - 03	08/12/2043	Autenticação do Servidor, Autenticação de Cliente, Email Seguro	Hotspot 2.0 Trust Root CA - 03	    	
Microsoft ECC Product Root Certificate Authority 2018	Microsoft ECC Product Root Certificate Authority 2018	27/02/2043	<Todos>	Microsoft ECC Product Root Certificate Authority 2018	    	
QuoVadis Root Certification Authority	QuoVadis Root Certification Authority	17/03/2021	Autenticação do Servidor, Autenticação de Cliente, Email Seguro, Assinatura do Código, Carimbo de Data/Hora	QuoVadis Root Certification Authority	    	
SecureTrust CA	SecureTrust CA	31/12/2029	Autenticação do Servidor, Autenticação de Cliente, Email Seguro, Assinatura do Código, Carimbo de Data/Hora	Trustwave	    	CA
Starfield Class 2 Certification Authority	Starfield Class 2 Certification Authority	29/06/2034	Autenticação do Servidor, Autenticação de Cliente, Email Seguro, Assinatura do Código	Starfield Class 2 Certification Authority	    	
Starfield Root Certificate Authority - G2	Starfield Root Certificate Authority - G2	31/12/2037	Autenticação do Servidor, Autenticação de Cliente, Assinatura do Código, Email Seguro, Carimbo de Data/Hora, Sistema de Arquivos Com Criptografia, Término do túnel de segurança de IP, Usuário de segurança de IP	Starfield Root Certificate Authority – G2	    	
StartCom Certification Authority	StartCom Certification Authority	17/09/2036	Autenticação do Servidor, Autenticação de Cliente, Email Seguro, Assinatura do Código, Carimbo de Data/Hora, Sistema de Arquivos Com Criptografia, Término do túnel de segurança de IP, Usuário de segurança de IP	StartCom Certification Authority	    	
thawte Primary Root CA	thawte Primary Root CA	16/07/2036	Autenticação do Servidor, Autenticação de Cliente, Email Seguro, Assinatura do Código	thawte	    	
USERTrust RSA Certification Authority	USERTrust RSA Certification Authority	18/01/2038	Autenticação do Servidor, Autenticação de Cliente, Email Seguro, Assinatura do Código, Carimbo de Data/Hora, Sistema de Arquivos Com Criptografia, Término do túnel de segurança de IP, Usuário de segurança de IP	Sectigo	    	
UTN-USERFirst-Object	UTN-USERFirst-Object	09/07/2019	Sistema de Arquivos Com Criptografia, Carimbo de Data/Hora, Assinatura do Código	Sectigo (UTN Object)	    	
VeriSign Class 3 Public Primary Certification Authority - G5	VeriSign Class 3 Public Primary Certification Authority - G5	16/07/2036	Autenticação do Servidor, Autenticação de Cliente, Email Seguro, Assinatura do Código	VeriSign	    	
VeriSign Universal Root Certification Authority	VeriSign Universal Root Certification Authority	01/12/2037	Autenticação do Servidor, Autenticação de Cliente, Email Seguro, Assinatura do Código, Carimbo de Data/Hora	VeriSign Universal Root Certification Authority	    	
